sdss_id,gaia,cls,G,bprp,MG,chi_ha,snr_ha,chi_hb,snr_hb
110688903,6475822118336747776,DZ,18.36,0.219,12.86,0.75,19.6,0.51,26.4
56102031,634307433430523648,DZ,18.45,0.57,13.99,0.82,24.0,1.24,22.5
62811676,1711656828096550272,DC,16.89,0.212,12.84,2.55,21.5,0.42,22.5
58715255,1029968414968983424,DC,17.58,0.213,13.17,0.7,20.9,0.66,20.2
79679015,3781450629449435264,DC/DA,18.48,0.533,12.91,1.52,31.6,1.1,27.5
90223114,4552909562780462592,DZ:,18.36,0.083,12.1,0.76,21.3,0.84,23.4
75935300,3228730738371591040,DZ:,18.65,0.585,13.82,1.3,22.7,0.82,22.9
71875869,2835134334729445504,DZ,19.63,0.271,12.97,0.82,26.2,1.12,25.9
89663441,4502205519647039616,DZ,17.75,0.219,12.86,0.77,20.4,0.87,22.7
57591226,880353465434594432,DC,19.3,0.115,13.05,1.35,50.8,1.16,58.1
56050812,624581428448988288,DZ:,19.0,0.136,12.54,1.11,20.4,0.94,24.4
87715814,4297268097107337088,DZ/DC,18.08,0.464,13.59,0.69,28.6,0.77,25.1
78947785,3648744214542134912,DZ,18.58,0.517,13.84,0.81,15.8,0.64,12.9
86513667,4227640144583303296,DC/DQ,18.11,0.304,12.72,1.8,23.9,0.72,21.5
70806827,2638932738224859776,DQ/DA,18.99,0.473,13.22,1.27,24.2,0.97,23.1
73486652,3016379622454570112,DC,18.27,0.182,12.71,2.09,36.6,1.4,34.7
61634012,1494157691363079168,DZ,16.89,0.448,13.64,0.47,21.2,0.53,22.1
79873808,3820186497111076480,DZ,18.98,0.017,12.22,1.29,17.5,0.48,26.5
69260737,2307625695520574208,DZ/DC,18.72,0.203,12.7,0.64,19.7,1.0,23.0
86721031,4247531478160569216,DZ,18.17,0.46,13.57,0.68,21.7,0.76,22.1
71386533,2741599395949650944,DZ,18.9,0.406,13.75,0.89,21.9,0.89,24.7
92281621,4729727593920911872,DC,18.66,0.26,13.03,1.01,18.1,0.74,25.4
101617561,5764137520468858880,DZ,19.71,0.1,12.82,1.08,20.3,0.79,26.8
70142932,2505241130833744768,DC/DA,18.25,0.573,12.86,0.95,19.2,0.97,22.6
85260074,4139684681854263936,DQ/DC,17.4,0.441,13.52,0.96,19.9,0.74,19.1
57244381,828871861427262464,DZ,18.93,0.02,12.14,0.81,19.3,0.64,21.7
104809734,5937668939609108224,DC/DZ,17.66,0.114,12.56,2.9,26.0,0.61,32.3
68659830,2208295166526996480,DZ,18.38,0.317,13.21,0.82,22.2,1.05,22.2
87633668,4293222027452271104,DZ,17.77,0.277,12.54,0.71,19.6,0.61,19.4
88845126,4408948031455742080,DZ,18.7,0.438,13.72,0.79,22.9,0.84,20.5
92967508,4826434211428916096,DZ:,18.98,0.359,13.27,0.86,20.2,0.77,23.9
73877678,3044597415857442944,DZ,17.24,0.276,12.93,0.67,22.0,0.6,23.2
103950707,5892465542676716544,DC:,17.41,0.308,13.3,1.48,23.3,1.25,32.8
101532055,5754029980657227520,DC:,17.96,0.082,12.07,0.75,25.7,0.59,29.4
74322981,3074611437592406528,DC,19.44,0.028,12.12,0.96,34.0,1.06,46.7
77079397,3377010532896116608,DC:,18.94,0.429,13.66,10.89,23.5,1.55,26.2
62578632,1667676667927290368,DC,19.32,0.187,12.34,1.43,37.7,0.73,45.7
92717484,4791576394296121984,DQ/DC,18.93,0.383,13.23,0.92,19.9,0.89,22.0
78913310,3642766758231763200,DC/DZ,18.65,0.111,12.37,0.96,34.3,0.7,41.3
71915310,2841985288602442752,DZ,18.56,0.117,12.26,0.8,19.2,0.71,22.9
68712680,2214215452527501824,DC/DB,16.94,0.076,12.02,0.93,33.7,0.63,33.8
56948867,772256044901728256,DQ,19.6,0.142,12.5,0.85,35.4,0.74,46.4
55882357,596684963026743936,DZ,18.94,0.277,12.84,1.14,20.9,0.95,20.6
57327879,844172660932900992,DC,18.84,0.353,13.33,2.21,25.5,0.95,25.1
78933274,3646213001335440896,DC:,18.08,0.043,12.08,0.8,26.5,0.92,31.0
76186527,3272522053122844544,DZ:,18.76,0.269,12.53,0.9,20.3,0.78,22.0
56191362,650022138948718336,DC,17.78,0.062,12.29,0.95,26.6,0.93,29.4
74536616,3093392608023202944,DZ,18.38,0.153,12.86,0.88,20.9,0.86,23.3
56293729,662801178481739264,DQ/DC,19.34,0.522,13.83,0.83,22.8,1.19,22.6
89992600,4528768689787177472,DC,18.37,0.093,12.11,0.89,19.3,0.82,21.9
79152708,3682682122697315712,DC,17.92,0.103,12.42,0.69,20.1,0.63,21.9
92565614,4769217550464977024,DZ,19.02,0.315,13.28,1.07,17.5,0.88,22.9
89127038,4445480473519600128,DC,18.1,0.037,12.74,98.88,19.5,0.71,20.7
73075554,2957868939381727232,DZ,17.76,0.04,12.23,0.75,19.0,0.75,20.9
89260551,4461739604794187520,DC/DA,18.22,0.551,13.82,0.67,20.3,0.78,19.1
98170865,5455851193235127424,DB/DBA,18.83,0.034,12.42,1.14,16.1,1.35,24.3
55918064,601707227200568448,DQ,19.11,0.316,13.31,0.79,24.8,1.17,31.5
77075037,3376658143718763136,DZ,18.7,0.084,12.72,2.29,25.8,0.69,30.4
57338927,845918170002326016,DC,19.46,0.112,12.33,1.53,43.3,0.8,55.7
92965431,4826174627902596096,DZ:,18.5,0.125,12.58,0.92,18.5,0.71,20.7
116274390,252964640203550976,DZ/DA,18.76,0.413,12.83,1.32,17.0,0.62,19.6
70157423,2507853291287991808,DZ,18.49,0.094,12.33,0.96,19.9,0.97,22.2
60733747,1351051678866396544,DQ:,18.58,0.138,12.57,0.97,19.1,0.61,22.9
71716408,2806804288062387072,DC,18.94,0.245,12.43,0.85,62.2,0.78,69.0
70645887,2606779964507034240,DC,17.11,0.018,12.28,0.66,20.7,0.58,20.5
102141012,5810983514745616256,DC:,18.07,0.161,12.57,1.06,16.1,0.31,28.0
109615694,6336025850588231552,DC,18.21,0.288,12.82,0.96,33.8,0.79,41.1
89575326,4492464190217327488,DZ,18.18,0.211,13.26,0.77,19.9,0.71,20.5
61894775,1543925264132195712,DQ,19.44,0.426,13.38,1.11,41.4,0.93,44.7
100607851,5678270090450099456,DZ,19.03,0.157,12.63,0.94,18.1,0.68,22.2
76092737,3250769761755600512,DZ,18.9,0.513,13.64,1.48,20.8,0.92,22.5
76962243,3367231446415876608,DZ,18.95,0.141,12.6,0.99,19.3,1.02,22.4
64036878,1839569024413960320,DZ/DZA,19.31,0.157,12.48,1.13,17.6,1.18,21.9
58367317,976556132954831488,DZ,17.76,0.325,13.26,0.54,19.8,0.83,18.9
100524976,5664510767581149184,DQ,18.73,0.481,13.29,0.68,18.2,1.08,20.3
70270317,2530732169756760064,DC,19.1,0.014,13.11,1.37,37.1,1.04,46.4
78938483,3647147315636540032,DZ,18.91,0.449,13.36,0.76,20.3,0.95,21.5
110919072,6505897373425077248,DC,18.44,0.054,12.47,0.77,16.9,1.08,23.8
93694577,4948118262786352256,DZ,19.08,0.328,13.0,0.86,18.4,0.93,21.7
68341172,2179552317674364928,DC:,17.83,0.432,13.52,0.83,24.8,0.69,23.5
69021691,2258723094808014080,DZ,18.82,0.105,12.63,0.86,20.1,0.87,22.2
79677211,3781105661971557120,DC/DQ,18.92,0.252,13.16,0.88,25.6,0.85,28.0
89932486,4522015072749397760,DC/DB,18.33,0.085,12.08,0.79,17.8,0.78,20.2
67240896,2086761881405501824,DZ,18.67,0.287,13.06,0.81,19.5,0.88,20.7
56672268,717762977319125632,DZ:,18.06,0.245,13.34,2.76,18.0,0.6,20.1
89613584,4497148792652128384,DZ,19.05,0.142,12.3,1.19,18.7,0.84,19.8
75727271,3200282700364985856,DZ,18.87,0.428,13.54,0.77,21.0,0.69,19.6
79340405,3714962577202183168,DZ,18.81,0.224,12.81,0.87,19.2,1.26,20.8
76977630,3368315320066689152,DZ,18.76,0.388,13.69,0.91,20.7,0.72,22.1
88662532,4383248871303553152,DZ,19.72,0.42,13.73,1.0,21.6,0.67,21.5
54792461,458448932352475392,DZ/DZA,19.32,0.054,12.63,2.06,17.7,0.74,22.3
65696101,2002232359484482304,DC,16.78,0.121,12.27,9.43,18.7,0.47,18.3
68823517,2230514539885276032,DC:,18.71,0.294,12.42,0.82,22.4,0.63,25.4
73637541,3030912447459563776,DB/DC,18.87,0.077,12.02,1.09,20.5,0.74,22.9
86558650,4232108426695238272,DZ,18.12,0.55,13.96,0.55,19.6,0.84,18.0
88576352,4372278631477380224,DZ,18.71,0.47,13.78,0.69,19.6,0.63,22.1
112020556,6662451229171016576,DQ/DC,17.29,0.209,13.46,0.97,18.3,1.07,15.4
89564908,4491229606162290176,DC,18.36,0.116,12.13,0.68,17.1,0.93,19.6
71390478,2742338954958639104,DQ/DC,18.7,0.223,13.38,1.29,19.3,1.19,21.5
55705009,564345169255704832,DC:,17.27,0.329,12.92,0.89,19.4,0.49,17.8
69093915,2270482101087446528,DC,18.29,0.058,12.14,0.98,20.8,0.71,30.3
65184274,1970965886615954304,DQ:,18.68,0.54,12.97,2.76,18.8,0.95,19.0
112093078,6669094581504184320,DZ,18.75,0.14,12.43,0.7,15.4,0.76,21.3
99347305,5572270439320894336,DZ:,18.58,0.307,13.15,1.14,16.2,1.08,20.4
70170155,2510420204262205312,DZ:,19.24,0.459,13.48,1.25,20.0,0.93,22.5
75705460,3196774979098763776,DC,19.01,0.215,12.71,1.25,19.8,0.96,20.5
77497117,3425192266297052416,DC,18.71,0.065,12.27,0.67,28.9,0.87,32.7
110265675,6430333020193631744,DC,18.27,0.077,12.21,0.84,14.1,0.48,22.5
93145627,4856596770316275072,DZ,19.28,0.486,13.45,1.32,16.6,1.12,20.3
74944277,3123038190290260992,DC:,18.89,0.176,12.13,2.24,18.0,1.01,19.9
110697595,6476767530833229184,DC,18.54,0.161,12.67,0.85,21.8,0.66,31.4
92948335,4823629322907825920,DC,19.01,0.579,14.03,0.68,18.5,0.91,19.7
109626544,6337925561868040832,DZ:,19.7,0.328,13.36,0.98,17.5,1.01,21.4
56416073,676620386078754304,DZ,19.92,0.115,12.29,0.91,16.4,0.73,21.7
75945963,3230092517882583552,DC/DQ,18.14,0.305,13.0,1.23,19.4,1.0,27.9
73795394,3039671225803688320,DZ,17.92,0.406,13.56,0.6,16.9,0.54,19.7
93056942,4841525352117429248,DC,19.04,0.502,13.77,0.82,16.4,0.72,19.0
70356877,2546096749538393600,DZ,18.67,0.211,12.74,1.39,21.6,0.73,24.7
65455516,1986124819066332928,DZ:,18.75,0.514,13.82,0.79,19.3,0.77,17.3
63923496,1830029214857511296,DZ:,18.77,0.14,12.43,1.54,16.0,0.57,20.4
80269065,3897079532834278912,DC,18.34,0.015,12.35,0.76,16.7,0.61,19.6
93263260,4876216249643782656,DQ/DC,19.44,0.063,12.97,0.79,14.7,1.02,21.6
111123728,6538287847811481344,DQ/DC,19.25,0.504,13.62,0.98,17.0,0.9,19.5
70110821,2499087366116251392,DZ,19.76,0.305,13.3,1.0,18.3,0.68,22.8
80123577,3867379730902743552,DZ,19.28,0.326,13.16,0.71,18.2,0.55,20.1
92236905,4722337192154893568,DQ:,18.94,0.585,13.29,0.8,18.0,1.06,19.3
64457570,1880934060602143872,DZ,19.33,0.358,12.69,0.71,17.3,0.78,20.5
105158630,5950072354156640128,DQ:,17.87,0.03,12.79,10.45,13.8,1.27,19.6
79150932,3682412703692940032,DZ,18.26,0.453,13.78,0.95,21.3,0.94,18.3
64021867,1837540769058693632,DZ/DZA,18.89,0.146,12.56,0.87,15.8,0.56,19.4
57470422,867433894570428416,DC,19.02,0.174,12.82,0.9,15.7,0.89,19.9
77290959,3398296665693341568,DZ,18.95,0.241,13.1,0.63,16.7,0.65,17.7
89914831,4520223010529394432,DC/DZ,18.56,0.317,13.14,1.28,22.0,0.9,23.4
93594357,4930441075046886144,DC,18.93,0.378,13.38,1.09,24.2,0.75,25.8
56350783,669747441977494656,DC/DA,19.81,0.41,13.8,0.72,20.6,1.03,22.3
88663957,4383394281714881920,DC/DB,19.22,0.331,12.26,2.19,33.8,0.98,34.0
55967307,609236712891803264,DZ:,18.2,0.343,13.23,0.67,17.7,0.71,19.5
70022024,2481157011526505728,DZ,19.58,0.376,12.83,0.7,17.0,1.03,21.3
98543897,5501695291898103424,DC,17.83,0.162,12.51,0.69,22.6,0.7,28.7
65791285,2006762136928045184,DZ,18.91,0.251,13.61,0.78,17.6,1.06,18.4
74371464,3080191875715285120,DC:,19.08,0.194,12.68,0.92,18.1,1.14,21.3
116744842,322974398130463616,DC:,18.61,0.581,12.58,0.85,23.1,0.84,21.8
93793737,4965877888132492416,DZ,19.21,0.424,13.43,0.81,16.6,0.69,18.8
100599590,5676958377373558400,DB,19.32,0.141,12.03,1.29,13.5,0.89,20.1
111880391,6652142105068879616,DBA/DA,18.03,0.147,12.16,1.93,20.6,1.88,25.8
68929295,2244128903314793600,DZ,17.86,0.519,13.82,0.61,18.0,0.57,15.5
79665868,3778749335538470784,DZ/DZA,19.21,0.128,13.13,1.11,13.6,1.04,19.4
79140391,3680684924249600768,DC,18.59,0.085,12.7,0.76,21.1,0.89,28.5
57450639,865443709804888320,DZ:,19.67,0.004,12.8,1.38,15.8,0.61,22.5
56111078,635982127078736640,DZ,19.12,0.388,13.38,0.85,16.7,0.77,18.2
98499286,5496405335298768256,DZ,18.41,0.546,13.6,0.53,15.9,0.7,17.4
76081597,3248627775665875840,DZ,19.22,0.021,12.3,0.55,15.7,0.95,19.8
59562336,1175456373375695616,DZ,18.93,0.116,12.36,3.5,16.2,1.12,18.9
69722169,2419860303430004736,DZ,17.56,0.392,13.6,0.73,17.1,0.99,17.3
71018740,2679575704508755840,DC:,19.44,0.155,12.94,1.31,43.0,0.81,51.5
114624627,6895690424612412416,DC:,18.41,0.416,14.09,0.62,16.1,0.99,16.6
117143431,377286007639564672,DZ,18.97,0.124,12.51,1.02,15.4,0.69,19.0
94687921,5134803143771473408,DZ,17.82,0.223,12.9,0.62,14.1,0.67,18.3
68942299,2246631460497465472,DC/DA,17.42,0.164,12.83,1.6,12.5,2.37,19.3
73488398,3016646254024894080,DZ:,19.34,0.509,13.82,1.71,18.9,1.73,16.5
57806778,902982754763873408,DZ,19.72,0.326,12.96,0.94,16.4,0.81,21.4
89947106,4523862325302052736,DC:,17.87,0.326,12.99,0.74,24.7,0.76,27.3
57855379,910965380985384320,DZ,19.53,0.532,13.83,0.9,16.4,0.7,18.6
110402850,6443808776437948416,DQ:,18.06,0.398,13.22,0.8,16.2,0.87,16.5
57419971,860312117239402752,DC,18.17,0.548,13.97,1.64,37.9,1.22,33.7
78671417,3599386832629810176,DC:,19.39,0.068,12.21,1.0,15.2,0.77,21.5
56515052,691813197233587712,DZ:,19.31,0.39,13.65,0.75,16.9,1.18,16.7
72251447,2892469502430800768,DZ,19.2,0.1,12.43,0.78,14.5,0.7,18.2
100595252,5676366251706824960,DC,19.31,0.492,13.59,0.89,15.2,0.67,16.8
89453451,4479928963091534464,DZ:,18.56,0.318,13.19,0.58,16.1,0.83,15.9
75635007,3185195060073944320,DZ,19.32,0.313,13.0,1.05,15.0,1.3,21.3
70115285,2500048030040892800,DZ,19.86,0.491,14.0,0.87,18.3,0.97,17.2
116372076,262630206404461696,DC,18.43,0.478,14.15,1.27,29.6,0.95,29.4
109525468,6320124296815719424,DZ,19.35,0.51,13.8,1.11,14.8,0.71,17.0
71140989,2695832675415645184,DZ,18.53,0.081,12.47,1.04,16.0,0.93,17.9
71073743,2687339493552038400,DQ/DC,19.12,0.539,13.7,1.13,27.3,0.61,31.0
110665601,6473590281530879104,DC:,18.73,0.121,12.32,1.05,13.2,1.24,20.1
101548509,5755664164174175872,DBAZ/DBZ,19.52,0.004,12.27,1.54,13.1,0.65,20.2
111991427,6660254095701070208,DZ:,18.37,0.36,13.8,0.66,14.9,0.63,14.9
79211718,3692497733580887040,DZ/DZA,18.49,0.213,12.84,0.78,14.7,0.62,18.0
112151776,6674985116265556352,DC:,19.41,0.246,12.69,0.92,20.4,0.56,25.2
110508257,6454870065274731904,DZ,19.17,0.086,12.62,0.7,14.3,0.77,19.9
76299352,3297530655552227072,DB:,18.72,0.077,12.61,1.23,12.5,0.65,20.2
80861552,4013513897205160448,DC,19.67,0.38,13.6,0.71,16.6,1.09,17.6
67196404,2083387553247052928,DC:,18.29,0.203,13.24,1.17,22.5,1.14,24.9
101548803,5755700619856890240,DZ,19.67,0.16,12.71,1.29,13.6,0.82,19.7
88864659,4411895650330144768,DC/DB,19.21,0.091,12.16,0.89,15.1,0.77,18.0
67701976,2129973856610339584,DZ:,18.98,0.597,13.99,0.7,17.3,0.78,16.6
116957610,352158048070541056,DZ,18.95,0.15,12.87,0.71,14.0,0.69,17.8
79090030,3672656947473710592,DC,17.26,0.516,13.8,14.48,13.8,1.47,14.6
61508271,1471788161655374080,DZ/DA,17.67,0.512,13.8,0.86,15.9,0.83,15.9
57835226,907640767055644928,DZ:,19.86,0.518,14.17,0.93,17.7,0.9,16.8
76117956,3255471926310681728,DC/DA,18.85,0.32,13.18,3.42,19.0,1.03,25.6
78630196,3592404860777244928,DC:,18.55,0.116,12.5,1.27,16.0,0.75,30.6
79705549,3786822052988785792,DZ:,19.5,0.299,12.89,1.13,13.1,0.98,20.0
74358806,3078589023984581248,DZ,19.56,0.287,13.02,0.92,15.9,0.87,17.8
79893647,3823834775476498176,DZ,19.82,0.253,13.24,0.84,14.6,0.71,19.8
61939671,1552160636283242880,DC,19.95,0.588,14.05,2.11,25.9,0.99,26.4
116622561,302222623688124800,DZ,19.79,0.359,13.58,0.93,16.8,0.98,17.9
56378103,672414066908306304,DQ/DC,19.78,0.556,13.35,0.94,25.3,0.58,23.2
60246253,1287337355157114368,DZ,19.87,0.261,12.98,0.71,20.4,0.98,24.8
63500554,1803903482848068864,DC,18.71,0.033,12.28,0.79,13.7,0.55,16.4
75818886,3213648703013478784,DZ/DA,19.2,0.122,12.54,1.19,16.5,0.9,20.2
71159499,2698766889698002688,DZ:,18.37,0.199,12.76,0.96,14.4,0.89,17.6
70823141,2642338239269642112,DC,19.93,0.412,13.5,0.94,26.4,0.98,29.5
76202671,3278074419341675136,DZ,19.17,0.254,13.09,0.79,14.7,0.72,17.3
70205368,2517639254012745472,DC,19.26,0.222,12.46,0.92,15.0,0.76,16.7
65791772,2006786124317312896,DZ,19.1,0.045,12.27,0.69,13.1,0.92,17.7
100039808,5616925592265833856,DZ:,19.05,0.542,13.93,2.43,21.2,1.6,18.9
57480001,868490941857841536,DZ/DA,19.87,0.321,12.21,1.26,15.8,1.05,14.2
54429294,425398643607856000,DZ:,18.83,0.164,12.87,0.96,13.9,0.75,17.0
66843478,2060989053974294912,DC,18.99,0.07,12.19,2.24,18.9,0.89,25.1
116605494,299146121434237440,DZ,18.66,0.193,12.89,1.08,14.6,0.69,15.5
92362433,4742960113282143360,DZ:,19.72,0.163,12.5,0.85,13.6,0.64,17.8
56274393,660212752014880256,DZ:,18.72,0.577,13.99,0.81,18.1,0.56,10.9
65839470,2009481160462546816,DZ,19.1,0.277,12.92,0.79,14.8,0.96,16.4
79700376,3785866646103603456,DC:,19.56,0.563,13.83,0.81,13.0,0.66,15.6
85819926,4165321062472840320,DC/DZ,17.57,0.128,12.65,1.1,33.3,0.54,36.4
92884094,4814005538147149568,DZ,19.4,0.144,12.74,0.85,13.8,0.84,17.1
62018070,1566553007268519168,DZ:,16.82,0.177,12.67,2.15,12.2,0.43,13.1
74822509,3113222334590899072,DZ:,18.99,0.056,12.16,2.31,18.0,0.77,20.0
69864941,2449550587713448960,DC/DA,19.4,0.186,12.36,0.7,18.2,0.84,20.5
68093906,2165669776482673024,DZ,19.11,0.136,12.78,1.64,14.3,0.8,16.9
92690647,4787632583523575296,DZ/DBAZ,19.54,0.125,12.3,0.94,11.2,1.35,18.8
92085350,4697078562502515840,DC/DQ,19.31,0.092,12.41,0.8,19.0,0.95,22.4
86704736,4246056929989715328,DZ,19.09,0.269,13.2,0.93,15.2,1.02,16.3
99343485,5571816822054004736,DC/DA,19.23,0.558,13.61,1.35,14.4,1.76,14.4
88864693,4411899812158276864,DC,19.35,0.274,13.17,0.88,14.5,0.9,16.0
71033934,2682035900431122432,DC:,18.87,0.008,12.2,1.6,35.4,1.03,46.3
61307488,1437448931754927616,DZ,19.04,0.597,14.01,0.99,16.1,1.0,13.7
110950484,6510261055900638720,DZ:,19.31,0.498,13.94,0.72,15.8,1.17,15.9
92729433,4793336987288298624,DZ/DC,19.48,0.514,13.65,0.79,11.4,0.86,20.0
79489916,3741741973170698496,DC/DA,19.9,0.579,14.15,0.93,25.6,0.76,23.1
61564198,1481551751894075136,DC:,19.77,0.225,12.61,0.7,29.6,0.93,35.2
110922571,6506377241530792192,DZ,19.85,0.218,12.57,1.25,13.4,1.09,17.6
67225222,2085547711335130752,DZ:,19.15,0.238,12.86,0.73,14.5,1.14,15.0
110957507,6511183069416152192,DC:,19.38,0.497,13.35,1.12,17.8,0.77,17.0
110599360,6466635629966025600,DC:,19.05,0.215,12.67,0.83,20.1,0.85,25.5
106344805,5997476427879830272,DC:,19.59,0.453,13.51,1.34,14.1,0.9,16.6
62361226,1629807597681327104,DZ,19.46,0.41,13.45,0.85,14.7,0.83,15.7
89562899,4490985106562656000,DZ:,19.09,0.511,12.44,0.95,13.6,0.47,14.0
110480966,6451732097745253632,DQ/DC,19.34,0.48,13.54,0.93,14.8,0.91,18.6
117140533,376884170498948352,DZ/DBZ,18.79,0.118,12.11,0.86,12.7,0.81,15.9
93329460,4886799427018530176,DC/DA,19.4,0.009,12.72,0.68,12.5,0.72,16.0
107125376,6054087017467868160,DZ,18.12,0.018,12.19,0.91,13.5,0.61,16.6
71862917,2832849343407859712,DZ:,18.84,0.029,12.16,0.88,16.2,1.01,20.2
64417475,1874965499168713600,DZ:,19.29,0.532,13.93,0.79,14.5,0.95,14.7
93763246,4960436538229162112,DC,19.46,0.257,12.84,0.72,12.4,0.93,16.1
94015018,5005793007782587648,DZ,18.62,0.296,13.17,0.69,13.6,0.62,13.3
75798448,3211026024184872576,DC:,19.35,0.303,12.9,2.66,17.1,0.96,15.1
100048863,5617381954006206208,DC/DQ,18.42,0.085,13.3,1.38,16.2,1.32,20.9
75248398,3146882852282366208,DZ,19.06,0.497,13.82,0.81,14.8,0.99,14.0
78781379,3620405474862194176,DZ,19.79,0.074,12.5,0.91,13.4,0.73,18.9
66952158,2067912953571172992,DC/DB,19.74,0.253,12.95,1.72,14.7,0.47,13.0
75906172,3225305794011326336,DZ,19.5,0.423,13.84,0.84,14.6,0.65,17.7
57597064,881133160914293888,DZ/DC,19.86,0.286,12.78,1.12,15.0,0.86,23.6
57738419,894628837215026944,DC:,19.54,0.267,13.24,0.92,13.6,1.04,14.3
112087190,6668504865315365120,DZ,19.21,0.33,12.69,0.99,12.1,0.48,15.5
92672209,4784898308560812416,DZ,19.56,0.115,12.44,0.62,11.3,0.95,17.5
87519490,4285439237474075904,DC:,18.94,0.279,13.46,1.09,13.5,0.8,13.8
68702279,2212797391765189760,DBZ:,19.24,0.078,12.11,0.87,14.4,0.73,17.2
56586673,703902258860987264,DC,19.84,0.267,12.3,1.18,17.8,0.75,22.9
58804688,1046044748139868544,DZ,19.32,0.142,12.55,0.88,12.9,0.59,16.2
115120737,84420777658979584,DZ:,19.26,0.33,13.3,1.04,14.5,0.96,15.1
68853847,2235380943987554560,DZ:,18.77,0.318,13.17,0.81,14.2,0.59,13.3
79077707,3670562687060398848,DZ,19.45,0.521,13.72,0.78,13.7,0.84,15.7
65129040,1968075407991540864,DZ:,19.47,0.401,13.47,2.87,13.7,1.75,15.1
110185772,6420740434074711680,DC:,18.46,0.242,12.83,0.78,12.4,0.95,14.4
78718760,3608209893750151936,DC:,19.19,0.157,12.65,1.2,24.7,0.89,33.3
116429474,271416094585086208,DZ:,19.13,0.404,12.68,1.0,13.3,0.59,14.1
104062549,5900023104568719104,DZ/DA,18.5,0.521,13.44,0.92,12.3,0.9,12.7
74234874,3066599197577336960,DZ:,19.51,0.449,13.3,0.63,12.5,1.19,15.8
79137874,3680270855042492672,DC:,19.42,0.548,13.82,0.93,16.9,0.92,19.3
92492256,4759911180968323456,DC:,19.56,0.467,14.08,1.09,13.9,1.0,15.4
63277025,1775275636031304320,DZ,19.15,0.263,12.39,0.82,12.8,0.94,14.3
71103956,2690846695128403712,DZ/DZA,19.04,0.197,12.36,1.11,12.4,0.67,13.4
87624659,4292808473640459264,DZ:,18.98,0.358,13.49,0.7,12.7,0.6,14.4
112078601,6667696969081244928,DC:,19.42,0.163,12.49,0.99,17.6,0.93,21.0
90203844,4551054072489426048,DZ:,19.54,0.402,13.55,0.75,12.4,0.88,14.1
117444337,413122218324587136,DZ,19.11,0.407,13.64,1.09,13.6,1.0,14.6
62888019,1727177255060972160,DC/DA,19.29,0.297,12.97,0.93,20.2,0.58,26.1
62892591,1728411937898873472,DB/DA,19.63,0.586,13.6,1.68,32.2,0.94,20.5
116719602,318146506996500992,DZ,19.14,0.417,13.6,0.59,13.3,0.71,14.1
110918296,6505780889614963840,DC/DZ,19.33,0.452,13.42,0.97,18.5,0.77,20.7
61000531,1388995966875872896,DB/DC,19.38,0.504,14.03,1.4,24.2,0.48,14.3
110525941,6456957178862858880,DC,18.8,0.323,13.11,0.84,18.0,0.73,23.3
93193688,4864838159722478208,DZ,19.42,0.296,13.07,0.77,12.1,0.72,15.1
78675848,3600111097257936256,DZ:,19.51,0.367,13.25,0.83,11.9,1.0,17.7
64441529,1878579387730218112,DZ:,19.28,0.449,13.85,0.84,13.9,1.08,14.4
79651970,3776007875093752960,DC,18.63,0.298,13.33,0.98,28.2,0.67,35.4
116372894,262720130134696192,DZ:,19.47,0.554,14.04,0.78,17.8,0.62,15.8
85925904,4179018469095547008,DZ:,18.81,0.315,13.02,1.0,13.9,1.14,13.4
66956104,2068209619850535936,DZ,19.31,0.351,13.51,1.04,12.7,0.48,14.8
68733710,2216730821602641920,DZ:,19.32,0.157,12.53,1.17,11.7,0.62,15.9
56087929,631623697346239744,DZ:,19.22,0.204,12.77,1.08,20.0,1.15,23.4
101593182,5761241780504051328,DC:,19.38,0.519,13.73,0.91,16.1,0.76,17.6
71387925,2741868265198803200,DZ/DA,18.45,0.068,12.11,1.8,12.2,0.61,15.6
110666617,6473683465140286848,DZ:,19.2,0.476,13.74,0.83,12.2,0.88,13.3
92997942,4831310579857957376,DC,19.24,0.166,13.07,0.81,11.8,0.86,14.8
80205220,3884773386379596416,DZ,19.02,0.234,12.66,0.57,13.4,0.67,14.4
86708291,4246414443067905920,DC,18.78,0.167,12.58,0.78,12.2,0.77,13.9
76203563,3278323935466054784,DC/DA,19.56,0.364,13.6,0.73,15.2,0.77,16.0
80014270,3845575453252066560,DC/DA,19.84,0.426,13.38,0.91,31.0,0.76,32.3
78083015,3483035064773227264,DZ:,19.58,0.328,13.04,0.73,10.8,0.57,13.7
87683295,4295568080355267200,DB,18.89,0.052,12.07,0.95,16.3,0.72,17.8
79060156,3667337544578212736,DC:,18.32,0.363,13.05,0.81,36.6,0.79,38.2
109237649,6268428906511116928,DZ,19.11,0.335,13.3,0.89,11.1,1.0,15.8
56587078,703973933275623808,DQ/DC,19.66,0.459,13.4,1.13,19.9,0.55,22.4
61979753,1559498197068798976,DC,19.53,0.161,12.73,1.59,34.7,1.07,42.5
77392529,3412359247613480704,DC/DZ,19.17,0.335,12.9,1.34,28.2,0.93,30.0
116016681,265911806235019008,DZ:,17.35,0.388,13.6,0.83,13.6,0.69,10.0
110189592,6421151209042040960,DZ:,18.57,0.424,12.5,0.94,9.8,0.81,16.1
78010830,3471323139929213440,DZ:,19.75,0.277,13.64,0.69,12.5,0.83,13.2
