name,hip,gaia_dr3_source_id,vmag,spectral_type,distance_pc,category,nss_pool,p_orb_d,m2_mj_marginalized_median,m2_marginalized_1sigma_lo,m2_marginalized_1sigma_hi,hgca_snrpma,kervella_m2_5au_mj,kervella_snrpma,penoyre_ruwe_value,gaia_rv_amplitude_robust_kms,archival_rv_summary,p_substellar_marginalized,filters_passed,status_tentative_only,notes,fp_risk_tier,P_real_companion,P_substellar_given_real,P_real_substellar,companion_class
BD+37 3282,,2094132083946332160,8.3,,365,filter_survivor_sb1_substellar_candidate_widened502_tycho_corroborated,nss_sb1,1015.39,38,34,62,,,,1.0,,"NOT in HIP. NOT in SB9. NOT in exoplanet.eu. NOT in Sahlmann 2025. SIMBAD obj_type=SB*. Tycho-Gaia chi^2 = 7.9 (CORROBORATED tier, low end). Pourbaix SB1: P=1015 d (2.8 yr), e=0.53, K_1=0.778 km/s, sig=9.4. M_2_marg=38.1 MJ (1σ 34-62 MJ).",0.88,Widened-502 cascade + Tycho-Gaia CORROBORATED chi^2=7.9,TENTATIVE_SB1_WIDENED502_TYCHO_CORROBORATED_BD,"NEW in v1.16.0 widened-502 cascade. BD+37 named (Bonner Durchmusterung), V=8.30. RUWE=1.00 = textbook single-star astrometry despite SB1 RV reflex. Long-period eccentric (P=1015d, e=0.53). M_2_marg=38.1 MJ. d=365 pc, northern (Dec=+38).",low,0.92,0.88,0.81,substellar_BD
BD+14 4993,115718,2814245885839871232,8.62,,1007,filter_survivor_sb1_substellar_candidate_hip_orbital_x_sb1_dual_detected,nss_sb1,50.27,12,10,18,,,,1.02,,"DUAL-CHANNEL DETECTION: HIP 115718 has Hipparcos van Leeuwen 2007 Sn=1 (HIP NSS ORBITAL classification — pre-Gaia 1991 epoch detected a non-single-star orbit) AND Gaia DR3 NSS SB1 fit (P=50.27 d, K_1=0.576 km/s, e=0.32). NOT in SB9. NOT in exoplanet.eu. NOT in Sahlmann 2025. SIMBAD main_id=BD+14 4993, obj_type=SB*. Pourbaix SB1 with M_1=1.0 Msun fallback: M_2_marg=11.5 MJ (1σ 10-18 MJ) — at/below the deuterium-burning boundary. RUWE=1.02 ultra-clean. Significance=8.6.",0.97,HIP NSS Sn=1 (orbital) + Gaia DR3 SB1 dual-detection + M_2_marg=11.5 MJ,TENTATIVE_HIP_ORBITAL_DUAL_DETECTED_BD,"NEW in v1.16.0 HIP NSS x Gaia SB1 intersection (29 sources total, only 2 substellar; this is the brightest+cleanest). The dual-detection makes this the MOST INDEPENDENTLY CORROBORATED SB1 candidate in the project: Hipparcos itself in 1991 fit an ORBITAL solution (Sn=1, the strongest HIP NSS class), AND Gaia DR3 in 2022 independently fit an SB1 spectroscopic-binary RV reflex. M_2_marg=11.5 MJ ties HD 22782 for the smallest mass in the candidate pool. d=1007 pc is far (plx=0.99 mas; significant uncertainty); V=8.62 bright enough for confirmation RV. Caveat: distance puts host in evolved-star regime; FLAME M_1 not retrieved, used 1.0 Msun fallback — if M_1 actually 2-3 Msun (giant), M_2 scales to ~~15-20 MJ (still substellar). RA=351.7, Dec=+15.1 — northern equatorial, easily reachable from any major facility.",low,0.97,0.97,0.941,substellar_BD
HD 151672,,,7.86,,,filter_survivor_widened66_tier2,nss_orbital,358,10,9,11,,,,1.09,,,0.95,35/35,TENTATIVE_SB1_WIDENED_TYCHO_CORROB_TIER2,Tycho-Gaia chi2=7.0,medium,0.9,0.85,0.77,substellar_BD
HD 15405,,,9.13,,,filter_survivor_widened66_tier2,nss_orbital,11.6,14,12,16,,,,1.59,,,0.92,35/35,TENTATIVE_SB1_WIDENED_TYCHO_CORROB_TIER2,Tycho-Gaia chi2=14.6; FLAG K-giant,medium,0.85,0.8,0.7,substellar_BD
HD 206933,,,8.24,,,filter_survivor_widened66_tier2,nss_orbital,13.6,16,14,18,,,,1.7,,,0.91,35/35,TENTATIVE_SB1_WIDENED_TYCHO_CORROB_TIER2,Tycho-Gaia chi2=14.0,medium,0.85,0.8,0.7,substellar_BD
HD 71160,,,7.46,,,filter_survivor_widened66_tier2,nss_orbital,507,17,15,19,,,,1.09,,,0.93,35/35,TENTATIVE_SB1_WIDENED_TYCHO_CORROB_TIER2,Tycho-Gaia chi2=5.7,medium,0.9,0.85,0.77,substellar_BD
HD 194390,,,7.52,,,filter_survivor_widened66_tier2,nss_orbital,63,19,17,21,,,,1.52,,,0.91,35/35,TENTATIVE_SB1_WIDENED_TYCHO_CORROB_TIER2,Tycho-Gaia chi2=14.2,medium,0.85,0.8,0.7,substellar_BD
HD 53924,,,7.5,,,filter_survivor_widened66_tier2,nss_orbital,15.7,20,18,22,,,,0.88,,,0.93,35/35,TENTATIVE_SB1_WIDENED_TYCHO_CORROB_TIER2,Tycho-Gaia chi2=6.3; RUWE=0.88 below baseline,low,0.92,0.87,0.8,substellar_BD
Gaia DR3 6696544512063546624,,6696544512063546624,10.27,,,companions_hunt_2026_05_18,nss_orbital,666.0,3435,,,,,,9.02,,,0.0,N/A_hunt_class,TENTATIVE_HUNT_2026_05_18,CD-34 14408 SB*; sig=123; M2_astrom=3.28,high,,,,dormant_BH_candidate
Gaia DR3 6811355413155399040,,6811355413155399040,8.72,,,companions_hunt_2026_05_18,nss_orbital,951.9,7928,,,,,,9.85,,,0.0,N/A_hunt_class,TENTATIVE_HUNT_2026_05_18,HD 207141 F-subgiant; sig=95; K_obs=31.5 (Filter#31 PASS),high,,,,dormant_BH_candidate
Gaia DR3 6471824298353396736,,6471824298353396736,10.81,,,companions_hunt_2026_05_18,nss_orbital,490.8,3802,,,,,,5.7,,,0.0,N/A_hunt_class,TENTATIVE_HUNT_2026_05_18,TYC 8785-1657-1 SB*; K_obs=28.6 = K_pred(60deg)=29.1 — CONSISTENT,high,,,,dormant_BH_candidate
Gaia DR3 5824775105747810688,,5824775105747810688,12.89,,,companions_hunt_2026_05_18,nss_orbital,624.8,1351,,,,,,4.9,,,0.0,N/A_hunt_class,TENTATIVE_HUNT_2026_05_18,sig=120; AstroSpectroSB1; UCAC4 source,medium,,,,dormant_NS_candidate
Gaia DR3 1921518825784578176,,1921518825784578176,7.83,,,companions_hunt_2026_05_18,nss_orbital,706.7,2461,,,,,,2.43,,,0.0,N/A_hunt_class,TENTATIVE_HUNT_2026_05_18,HD 224381 G5 SB*; sig=117,medium,,,,dormant_NS_candidate
Gaia DR3 4850049251588903936,,4850049251588903936,11.48,,,companions_hunt_2026_05_18,nss_orbital,469.7,1948,,,,,,4.72,,,0.0,N/A_hunt_class,TENTATIVE_HUNT_2026_05_18,TYC 7572-1359-1; sig=111,medium,,,,dormant_NS_candidate
